Carpeta,Tabla,Espectro,Pigmento,Aglutinante,Base de preparación
Tablas1,C3,D100000.asd,Carmin de cochinilla,Aceite de linaza,carbonato de calcio
Tablas1,C3,D100001.asd,Carmin de cochinilla,Aceite de linaza,carbonato de calcio
Tablas1,C3,D100002.asd,Carmin de cochinilla,Aceite de linaza,carbonato de calcio
Tablas1,C3,D200000.asd,Carmin de cochinilla,aceite de nuez,carbonato de calcio
Tablas1,C3,D200001.asd,Carmin de cochinilla,aceite de nuez,carbonato de calcio
Tablas1,C3,D200002.asd,Carmin de cochinilla,aceite de nuez,carbonato de calcio
Tablas1,C3,D300000.asd,Carmin de cochinilla,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,D300001.asd,Carmin de cochinilla,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,D300002.asd,Carmin de cochinilla,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,D400000.asd,Carmin de cochinilla,cola de conejo,carbonato de calcio
Tablas1,C3,D400001.asd,Carmin de cochinilla,cola de conejo,carbonato de calcio
Tablas1,C3,D400002.asd,Carmin de cochinilla,cola de conejo,carbonato de calcio
Tablas1,C3,D500000.asd,Carmin de cochinilla,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,D500001.asd,Carmin de cochinilla,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,D500002.asd,Carmin de cochinilla,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,E100000.asd,Laca de alizarina,Aceite de linaza,carbonato de calcio
Tablas1,C3,E100001.asd,Laca de alizarina,Aceite de linaza,carbonato de calcio
Tablas1,C3,E100002.asd,Laca de alizarina,Aceite de linaza,carbonato de calcio
Tablas1,C3,E200000.asd,Laca de alizarina,aceite de nuez,carbonato de calcio
Tablas1,C3,E200001.asd,Laca de alizarina,aceite de nuez,carbonato de calcio
Tablas1,C3,E200002.asd,Laca de alizarina,aceite de nuez,carbonato de calcio
Tablas1,C3,E300000.asd,Laca de alizarina,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,E300001.asd,Laca de alizarina,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,E300002.asd,Laca de alizarina,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C3,E400000.asd,Laca de alizarina,cola de conejo,carbonato de calcio
Tablas1,C3,E400001.asd,Laca de alizarina,cola de conejo,carbonato de calcio
Tablas1,C3,E400002.asd,Laca de alizarina,cola de conejo,carbonato de calcio
Tablas1,C3,E500000.asd,Laca de alizarina,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,E500001.asd,Laca de alizarina,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C3,E500002.asd,Laca de alizarina,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,A100003.asd,Rejalgar,Aceite de linaza,carbonato de calcio
Tablas1,C4,A100004.asd,Rejalgar,Aceite de linaza,carbonato de calcio
Tablas1,C4,A100005.asd,Rejalgar,Aceite de linaza,carbonato de calcio
Tablas1,C4,A200000.asd,Rejalgar,yema de huevo,carbonato de calcio
Tablas1,C4,A200001.asd,Rejalgar,yema de huevo,carbonato de calcio
Tablas1,C4,A200002.asd,Rejalgar,yema de huevo,carbonato de calcio
Tablas1,C4,A300000.asd,Rejalgar,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,A300001.asd,Rejalgar,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,A300002.asd,Rejalgar,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,A400000.asd,Rejalgar,cola de conejo,carbonato de calcio
Tablas1,C4,A400001.asd,Rejalgar,cola de conejo,carbonato de calcio
Tablas1,C4,A400002.asd,Rejalgar,cola de conejo,carbonato de calcio
Tablas1,C4,A500000.asd,Rejalgar,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,A500001.asd,Rejalgar,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,A500002.asd,Rejalgar,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,B100000.asd,Azurita,Aceite de linaza,carbonato de calcio
Tablas1,C4,B100001.asd,Azurita,Aceite de linaza,carbonato de calcio
Tablas1,C4,B100002.asd,Azurita,Aceite de linaza,carbonato de calcio
Tablas1,C4,B200000.asd,Azurita,yema de huevo,carbonato de calcio
Tablas1,C4,B200001.asd,Azurita,yema de huevo,carbonato de calcio
Tablas1,C4,B200002.asd,Azurita,yema de huevo,carbonato de calcio
Tablas1,C4,B300000.asd,Azurita,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,B300001.asd,Azurita,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,B300002.asd,Azurita,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,B400000.asd,Azurita,cola de conejo,carbonato de calcio
Tablas1,C4,B400001.asd,Azurita,cola de conejo,carbonato de calcio
Tablas1,C4,B400002.asd,Azurita,cola de conejo,carbonato de calcio
Tablas1,C4,B500000.asd,Azurita,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,B500001.asd,Azurita,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,B500002.asd,Azurita,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,C100000.asd,Esmalte,Aceite de linaza,carbonato de calcio
Tablas1,C4,C100001.asd,Esmalte,Aceite de linaza,carbonato de calcio
Tablas1,C4,C100002.asd,Esmalte,Aceite de linaza,carbonato de calcio
Tablas1,C4,C200000.asd,Esmalte,yema de huevo,carbonato de calcio
Tablas1,C4,C200001.asd,Esmalte,yema de huevo,carbonato de calcio
Tablas1,C4,C200002.asd,Esmalte,yema de huevo,carbonato de calcio
Tablas1,C4,C300000.asd,Esmalte,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,C300001.asd,Esmalte,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,C300002.asd,Esmalte,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,C400000.asd,Esmalte,cola de conejo,carbonato de calcio
Tablas1,C4,C400001.asd,Esmalte,cola de conejo,carbonato de calcio
Tablas1,C4,C400002.asd,Esmalte,cola de conejo,carbonato de calcio
Tablas1,C4,C500000.asd,Esmalte,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,C500001.asd,Esmalte,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,C500002.asd,Esmalte,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,D100000.asd,Lapislazuli,Aceite de linaza,carbonato de calcio
Tablas1,C4,D100001.asd,Lapislazuli,Aceite de linaza,carbonato de calcio
Tablas1,C4,D100002.asd,Lapislazuli,Aceite de linaza,carbonato de calcio
Tablas1,C4,D200000.asd,Lapislazuli,yema de huevo,carbonato de calcio
Tablas1,C4,D200001.asd,Lapislazuli,yema de huevo,carbonato de calcio
Tablas1,C4,D200002.asd,Lapislazuli,yema de huevo,carbonato de calcio
Tablas1,C4,D300000.asd,Lapislazuli,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,D300001.asd,Lapislazuli,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,D300002.asd,Lapislazuli,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,D400000.asd,Lapislazuli,cola de conejo,carbonato de calcio
Tablas1,C4,D400001.asd,Lapislazuli,cola de conejo,carbonato de calcio
Tablas1,C4,D400002.asd,Lapislazuli,cola de conejo,carbonato de calcio
Tablas1,C4,D500000.asd,Lapislazuli,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,D500001.asd,Lapislazuli,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,D500002.asd,Lapislazuli,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,E100000.asd,Indigo,Aceite de linaza,carbonato de calcio
Tablas1,C4,E100001.asd,indigo,Aceite de linaza,carbonato de calcio
Tablas1,C4,E100002.asd,Indigo,Aceite de linaza,carbonato de calcio
Tablas1,C4,E200000.asd,indigo,yema de huevo,carbonato de calcio
Tablas1,C4,E200001.asd,Indigo,yema de huevo,carbonato de calcio
Tablas1,C4,E200002.asd,indigo,yema de huevo,carbonato de calcio
Tablas1,C4,E300000.asd,Indigo,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,E300001.asd,indigo,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,E300002.asd,Indigo,yema de huevo y aceite de linaza,carbonato de calcio
Tablas1,C4,E400000.asd,indigo,cola de conejo,carbonato de calcio
Tablas1,C4,E400001.asd,Indigo,cola de conejo,carbonato de calcio
Tablas1,C4,E400002.asd,indigo,cola de conejo,carbonato de calcio
Tablas1,C4,E500000.asd,Indigo,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,E500001.asd,indigo,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C4,E500002.asd,Indigo,almaciga y aceite de linaza,carbonato de calcio
Tablas1,C6,A100003.asd,Bermellon,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,A100004.asd,Bermellon,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,A100005.asd,Bermellon,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,A200000.asd,Bermellon,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,A200001.asd,Bermellon,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,A200002.asd,Bermellon,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,A300000.asd,Bermellon,aceite de linaza con colofonia,carbonato de calcio
Tablas1,C6,A300001.asd,Bermellon,aceite de linaza con colofonia,carbonato de calcio
Tablas1,C6,A300002.asd,Bermellon,aceite de linaza con colofonia,carbonato de calcio
Tablas1,C6,A400000.asd,Bermellon,aceite de linaza con sandaraca,carbonato de calcio
Tablas1,C6,A400001.asd,Bermellon,aceite de linaza con sandaraca,carbonato de calcio
Tablas1,C6,A400002.asd,Bermellon,aceite de linaza con sandaraca,carbonato de calcio
Tablas1,C6,A500000.asd,Bermellon,aceite de linaza,carbonato de calcio
Tablas1,C6,A500001.asd,Bermellon,aceite de linaza,carbonato de calcio
Tablas1,C6,A500002.asd,Bermellon,aceite de linaza,carbonato de calcio
Tablas1,C6,B100000.asd,Cochinilla,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,B100001.asd,Cochinilla,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,B100002.asd,Cochinilla,aceite de linaza con copal,carbonato de calcio
Tablas1,C6,B200000.asd,Cochinilla,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,B200001.asd,Cochinilla,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,B200002.asd,Cochinilla,aceite de linaza con almaciga,carbonato de calcio
Tablas1,C6,B300000.asd,Cochinilla,aceite de linaza con colofonia,carbonato de calcio
