Wavelength	A00133.asd
1026	 1.03117639883258 
1027	 1.03110836906529 
1028	 1.03113088984983 
1029	 1.03114601780301 
1030	 1.03097667914013 
1031	 1.03089247825897 
1032	 1.03096563441901 
1033	 1.03100594525427 
1034	 1.03102435414597 
1035	 1.03096324471528 
1036	 1.03094393656589 
1037	 1.03093693521037 
1038	 1.03092584934495 
1039	 1.03089395833164 
1040	 1.03087954685007 
1041	 1.03088332836891 
1042	 1.03076764030805 
1043	 1.03051888566948 
1044	 1.03055780852086 
1045	 1.03051245501938 
1046	 1.03042719914684 
1047	 1.03045052816027 
1048	 1.03038919231057 
1049	 1.03027964273496 
1050	 1.03020899003874 
1051	 1.03021019593888 
1052	 1.03016680927475 
1053	 1.03015142044528 
1054	 1.03018626010927 
1055	 1.03016455475538 
1056	 1.03007270751695 
1057	 1.03009475120089 
1058	 1.03017538606005 
1059	 1.03015143693765 
1060	 1.0301755229358 
1061	 1.03025116547126 
1062	 1.03022157169483 
1063	 1.03028623375379 
1064	 1.03045882142892 
1065	 1.03061550558728 
1066	 1.03082070206398 
1067	 1.03089612237564 
1068	 1.03087021052044 
1069	 1.03087968414319 
1070	 1.03088353040431 
1071	 1.03085568153097 
1072	 1.03084220845275 
1073	 1.03085136074818 
1074	 1.03087226335398 
1075	 1.03088713073862 
1076	 1.03084570957628 
1077	 1.03085328090992 
1078	 1.03092570758195 
1079	 1.03095162077293 
1080	 1.03103177299957 
1081	 1.03109335152398 
1082	 1.03100569559944 
1083	 1.03098135162248 
1084	 1.03106575932516 
1085	 1.03109351609746 
1086	 1.03111558643262 
1087	 1.03116529297155 
1088	 1.03123853607722 
1089	 1.03124556972337 
1090	 1.03128053778551 
1091	 1.03141878863094 
1092	 1.03149942328208 
1093	 1.03149093449488 
1094	 1.03153443205465 
1095	 1.03160672531079 
1096	 1.03166852485095 
1097	 1.03177219736951 
1098	 1.03184838980336 
1099	 1.03182749512805 
1100	 1.0317923908081 
1101	 1.03177425663341 
1102	 1.03176556622445 
1103	 1.03176455773262 
1104	 1.03181838292732 
1105	 1.03179394697287 
1106	 1.03173063490585 
1107	 1.03171967611103 
1108	 1.03168766375697 
1109	 1.0316758782438 
1110	 1.03160068227522 
1111	 1.03148180591784 
1112	 1.03142757241887 
1113	 1.03136434926928 
1114	 1.03138120864972 
1115	 1.03146311773433 
1116	 1.03143157741018 
1117	 1.0313408310594 
1118	 1.03126356204007 
1119	 1.03112941897931 
1120	 1.03105302853191 
1121	 1.03098059542652 
1122	 1.03095408907882 
1123	 1.03100899500927 
1124	 1.03105114540166 
1125	 1.03108134845865 
1126	 1.03117753894595 
1127	 1.03117926061743 
1128	 1.03112487467561 
1129	 1.03108325833331 
1130	 1.03101952019211 
1131	 1.03094404112154 
1132	 1.03080544738255 
1133	 1.03064817875651 
1134	 1.03049654014543 
1135	 1.03037112994382 
1136	 1.03028145225514 
1137	 1.03017136801635 
1138	 1.0300346062597 
1139	 1.02995122967885 
1140	 1.02987881288346 
1141	 1.0298141573132 
1142	 1.02979750248554 
1143	 1.02983051194263 
1144	 1.02984342861631 
1145	 1.02991454746907 
1146	 1.02998611704355 
1147	 1.02997778318374 
1148	 1.02991006326574 
1149	 1.02978314925383 
1150	 1.02962515580395 
1151	 1.02947435791381 
1152	 1.02936613708022 
1153	 1.02926759484334 
1154	 1.02921297418476 
1155	 1.02923487018925 
1156	 1.02920021165156 
1157	 1.02917855691579 
1158	 1.0291264467865 
1159	 1.02902470568543 
1160	 1.02893337933606 
1161	 1.02890894022546 
1162	 1.02886844281648 
1163	 1.02884598709838 
1164	 1.02887901452043 
1165	 1.02886472124095 
1166	 1.02884250195385 
1167	 1.02882657171979 
1168	 1.02881170576226 
1169	 1.02875414951511 
1170	 1.02866836154793 
1171	 1.02857551126448 
1172	 1.02842734771189 
1173	 1.02832399606134 
1174	 1.02820896589059 
1175	 1.02815129742621 
1176	 1.02814584753006 
1177	 1.02814126678521 
1178	 1.02817728696736 
1179	 1.02820184024155 
1180	 1.02822495471238 
1181	 1.02819536182443 
1182	 1.02818182670857 
1183	 1.02822740784508 
1184	 1.02825807392413 
1185	 1.0283141651598 
1186	 1.02829614745668 
1187	 1.02821573612242 
1188	 1.02817838052387 
1189	 1.0281012224749 
1190	 1.02805397209903 
1191	 1.02805777352354 
1192	 1.02803331334619 
1193	 1.02799387739741 
1194	 1.02796271553688 
1195	 1.02794127050857 
1196	 1.02788963420314 
1197	 1.02778483481569 
1198	 1.02776541779071 
1199	 1.02773676846071 
1200	 1.02769935881156 
